"Sector","ICP","IRP","IB"
"569",0,0,0
"401",4.54545454545455,1.92307692307692,4.54545454545455
"400",9.80392156862745,4.16666666666667,9.80392156862745
"403",7.2463768115942,3.15789473684211,8.69565217391304
"444",0,0,0
"540",12,5.35714285714286,12
"390",0,0,0
"513",0,0,0
"500",0,0,0
"1305",0,0,0
